symbol,regime,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
AAVE,Blow-off rally / parabolic,39,0.03089848802197949,0.029036865374727938,0.08125039243883152,0.6153846153846154,0.3802872465538069
XRP,Blow-off rally / parabolic,297,0.010520631329009359,-0.0031827162984150448,0.06293761956160711,0.4713804713804714,0.1671596638431985
DOT,Blow-off rally / parabolic,42,0.009016439346787324,0.0014036233844019197,0.061675863645167806,0.5238095238095238,0.14619072703481706
ETH,Blow-off rally / parabolic,342,0.00615754792168842,-0.0013518261689684508,0.056322713127220696,0.4824561403508772,0.10932619506059421
LINK,Blow-off rally / parabolic,218,0.005659662888978439,-0.0027200474085221638,0.06506363874106946,0.48623853211009177,0.08698657189312634
SOL,Blow-off rally / parabolic,57,0.0053056361007093105,0.012038824596517755,0.0819302816486847,0.5614035087719298,0.06475793801685883
BTC,Blow-off rally / parabolic,345,0.004728521256290522,0.002087127436135816,0.03891934490118097,0.5478260869565217,0.12149539691113967
DOGE,Blow-off rally / parabolic,279,0.0045366308026828445,-0.0067985016007892085,0.06517184740365867,0.41935483870967744,0.06961028394030401
BNB,Blow-off rally / parabolic,200,0.003674025777188583,-0.0016222660046016912,0.05142521248789807,0.48,0.07144405631874043
XMR,Blow-off rally / parabolic,390,0.0035946382338580885,-0.0025914372856643553,0.059030588501066905,0.4794871794871795,0.06089450105673806
ADA,Blow-off rally / parabolic,210,0.0035044728339297024,-0.0036864522193134075,0.060644466191870104,0.47619047619047616,0.05778718247501874
XLM,Blow-off rally / parabolic,315,0.0030492108303373363,-0.009012384867254752,0.06616162165089906,0.4380952380952381,0.04608730490958123
LTC,Blow-off rally / parabolic,378,0.0017847910074802768,-0.004110162754749069,0.054125886594411816,0.4497354497354497,0.032974813343095356
TRX,Blow-off rally / parabolic,181,0.0012505704878435586,-0.010462755629787601,0.06528303919911826,0.430939226519337,0.019156131564727293
MIOTA,Blow-off rally / parabolic,182,1.1187808857093943E-4,-0.009802944966352145,0.06374613510906224,0.41208791208791207,0.001755056810574147
ATOM,Blow-off rally / parabolic,133,-0.0010874591928723772,-0.006927790199127815,0.057963984307386994,0.48120300751879697,-0.018760946230084983
WBTC,Blow-off rally / parabolic,103,-0.001109708525738098,-0.002698758983434857,0.032143361608432536,0.46601941747572817,-0.034523723413140944
XEM,Blow-off rally / parabolic,290,-0.0012724815513702054,-0.012407214212652118,0.07255115273842352,0.4206896551724138,-0.0175390948777619
EOS,Blow-off rally / parabolic,181,-0.0029591092778631822,-0.007502720227809956,0.06202085117389899,0.3812154696132597,-0.047711523170912255
CRO,Blow-off rally / parabolic,127,-0.0032784379071682545,-0.0011321624660456386,0.051417078248856676,0.47244094488188976,-0.06376165310873444
UNI,Blow-off rally / parabolic,38,-0.0050394128342159394,-0.022087219747415787,0.06553039390415834,0.3684210526315789,-0.07690191579782577
BNB,Bull impulse,58,0.025642365345321834,-0.0012068012433910091,0.11174558584418413,0.5,0.2294709464504222
AAVE,Bull impulse,21,0.02476746979750134,0.020935297742019188,0.08634032332300881,0.5714285714285714,0.28685866399693066
MIOTA,Bull impulse,44,0.02441694028849535,0.041686277077080836,0.09633721252336595,0.5454545454545454,0.2534528418348536
ADA,Bull impulse,42,0.0176641171328299,0.007576656414284955,0.09258905241082716,0.5476190476190477,0.1907797593008339
XRP,Bull impulse,107,0.017239568345402325,0.014736489731865365,0.09945002361420299,0.5327102803738317,0.17334906236201486
TRX,Bull impulse,46,0.017027594557701687,0.01778408068334958,0.11252542162010103,0.5217391304347826,0.1513222017971089
ETH,Bull impulse,45,0.01618429796232714,0.002155582178774651,0.08298915764128266,0.5111111111111111,0.19501701694916732
BTC,Bull impulse,13,0.01498648626425735,0.029492065321043093,0.06992721315249659,0.6153846153846154,0.21431550877874922
DOGE,Bull impulse,97,0.014419991533687511,0.005619990350134607,0.11827563118540711,0.5360824742268041,0.12191853376020415
SOL,Bull impulse,34,0.012329346992485028,0.0030492216461691646,0.10144693132387086,0.5294117647058824,0.12153494276848455
CRO,Bull impulse,16,0.011746913874099221,0.012978417150561805,0.09759134781383096,0.625,0.12036839471167148
UNI,Bull impulse,13,0.011431585081720442,0.019020116670429132,0.08254822368016017,0.5384615384615384,0.13848371984372496
LTC,Bull impulse,52,0.010501216335279985,-0.002695635936141194,0.08870989235218311,0.5,0.11837706096620637
XLM,Bull impulse,77,0.00826340518542832,-0.014614495744177836,0.107939084636489,0.4675324675324675,0.07655619105217852
XEM,Bull impulse,88,0.007404243280668053,-0.012398051365093643,0.10795062032602859,0.4659090909090909,0.06858916843929218
EOS,Bull impulse,39,0.004876470417407228,-0.011124301507357215,0.10457522356839953,0.46153846153846156,0.046631221536119156
ATOM,Bull impulse,12,0.0018109856160416309,-0.04506000065639615,0.07229555060043305,0.3333333333333333,0.025049752038693
XMR,Bull impulse,45,-0.010074549593759518,-0.044529246444867776,0.09612914848443836,0.37777777777777777,-0.10480223483296965
LINK,Bull impulse,40,-0.013295154923087213,-0.03020425718575792,0.0835289660574337,0.35,-0.159168196981459
DOT,Bull impulse,11,-0.040485608959889625,-0.03587292635219219,0.05985665807047102,0.18181818181818182,-0.6763760334268031
SOL,Calm / normal,24,0.020015437804123265,0.00562674889666559,0.08920507312702308,0.5833333333333334,0.2243755551393629
UNI,Calm / normal,13,0.004210204116755067,0.007755802823308677,0.0780777975875476,0.6153846153846154,0.05392319259561876
DOT,Calm / normal,85,0.003853584352558746,-0.002867561876043867,0.0552015201525259,0.47058823529411764,0.06980938825436339
LINK,Calm / normal,332,0.002979498730818226,0.0011181959752586401,0.04687352594468986,0.5120481927710844,0.06356463847703701
TRX,Calm / normal,521,0.002437673833242443,0.0021148861735182933,0.04225483906690996,0.5355086372360844,0.057689814635962046
XMR,Calm / normal,1047,0.002213199405967461,0.0017490688092376416,0.0424878962068662,0.5224450811843362,0.052090115151660524
WBTC,Calm / normal,678,0.0021339695315509524,0.001875029827626662,0.033290658799774275,0.5442477876106194,0.06410115054753503
CRO,Calm / normal,494,0.0020592522093831915,0.002001480347297857,0.03870662480699645,0.5425101214574899,0.053201544171089014
ETH,Calm / normal,1026,0.001246378113496652,1.622473662532542E-5,0.041601308712028766,0.5009746588693957,0.02996006981713701
BTC,Calm / normal,2293,0.0010842581209664984,0.0013837748007414774,0.03207570672474931,0.5333624073266463,0.03380309373292452
EOS,Calm / normal,551,8.696519813084041E-4,-2.799974072653644E-4,0.04510549393927413,0.49909255898366606,0.019280400353873153
BNB,Calm / normal,660,3.3006726322292194E-4,-0.0010049237726672544,0.04077031359448523,0.4909090909090909,0.008095774452604856
DOGE,Calm / normal,1432,7.840793571340984E-5,-0.0014104239827723575,0.035878471380219476,0.4720670391061452,0.00218537559425226
LTC,Calm / normal,1689,5.348022138520929E-5,-7.248372271675407E-4,0.03754830234321398,0.4854943753700414,0.0014243046435593286
ATOM,Calm / normal,255,8.981714478582025E-6,-0.0010023024605765318,0.04591196583985005,0.4980392156862745,1.956290547416769E-4
XLM,Calm / normal,1115,-4.209347015074313E-4,-0.0017392550471022616,0.04124229453215843,0.4717488789237668,-0.010206384156904995
XEM,Calm / normal,768,-5.531224764965003E-4,2.8806500669720236E-5,0.04495484509970668,0.5013020833333334,-0.01230395689874392
MIOTA,Calm / normal,537,-0.0010294616683829178,-0.0015828565143372053,0.042339021554877586,0.4729981378026071,-0.024314725059212443
XRP,Calm / normal,1576,-0.001425136438625566,-0.002368478034499688,0.03652045863865515,0.4536802030456853,-0.03902296114970275
ADA,Calm / normal,494,-0.0026912670486583467,-0.001315406978491307,0.04632945253399509,0.4817813765182186,-0.05808976582841292
AAVE,Calm / normal,22,-0.010924035868263748,-0.006915775465497376,0.056478903206707676,0.45454545454545453,-0.1934179888069491
SOL,Choppy high-vol sideways,250,0.009194061918264829,9.110135146240816E-4,0.07777875725437912,0.516,0.11820787889674314
BTC,Choppy high-vol sideways,70,0.008244284057987475,0.01884197551774136,0.05529644092103419,0.6142857142857143,0.1490924898721906
BNB,Choppy high-vol sideways,315,0.006426520803349113,0.0065284676703525335,0.06866638927917584,0.5714285714285714,0.09359048685698194
ETH,Choppy high-vol sideways,424,0.005377550542274336,-2.8575238605554887E-5,0.060253862910737636,0.5,0.0892482287856107
DOT,Choppy high-vol sideways,113,0.005343161802768501,-0.0024362109168061252,0.07217735973781209,0.49557522123893805,0.0740282246701432
UNI,Choppy high-vol sideways,159,0.004315770873375823,0.004647937166191163,0.07736486626708027,0.5094339622641509,0.05578463560548076
AAVE,Choppy high-vol sideways,120,0.003676997497387091,-5.250528903912866E-4,0.0824820866417704,0.49166666666666664,0.04457934622043126
ATOM,Choppy high-vol sideways,273,0.0033488128781729394,-8.130007920685856E-4,0.06887451243862239,0.4908424908424908,0.04862194677831278
XEM,Choppy high-vol sideways,723,6.301066303406213E-4,-0.0014288357201968083,0.06451971339412209,0.49239280774550487,0.009766110188549375
ADA,Choppy high-vol sideways,366,5.678153985990778E-4,-0.001175519797481872,0.06426068244282503,0.4972677595628415,0.00883612462572714
LINK,Choppy high-vol sideways,522,4.8087117770673015E-4,-0.004085879407175308,0.07351641071373384,0.4827586206896552,0.006541004559909738
EOS,Choppy high-vol sideways,441,-1.830305433522585E-4,0.0023917902928474177,0.06754596659656417,0.5192743764172335,-0.002709718323307977
DOGE,Choppy high-vol sideways,590,-0.001483912301516373,-0.0048296627912334245,0.06926929438860666,0.4661016949152542,-0.021422367798226705
XMR,Choppy high-vol sideways,666,-0.0023239907490814975,-0.005338465018041028,0.06694621608248166,0.4624624624624625,-0.03471429581947103
LTC,Choppy high-vol sideways,470,-0.002497851377550891,-0.0053289199870034665,0.05935329093102358,0.46595744680851064,-0.042084463024194
CRO,Choppy high-vol sideways,151,-0.0028479787312770447,-0.006233273905586145,0.06045681982341711,0.4503311258278146,-0.04710765037915408
XRP,Choppy high-vol sideways,514,-0.003003148628791217,-0.0025742875569078755,0.06143670805224345,0.47470817120622566,-0.048881991304570764
MIOTA,Choppy high-vol sideways,451,-0.003426233407757959,-0.005098634203866359,0.07058852213145278,0.4811529933481153,-0.04853810937389352
XLM,Choppy high-vol sideways,613,-0.004174871837080585,-0.006686780689380889,0.06583542481662474,0.4290375203915171,-0.06341376012548107
TRX,Choppy high-vol sideways,395,-0.0062138424127115835,-0.0051284063321799245,0.07120164744472302,0.46582278481012657,-0.08727104829330899
WBTC,Choppy high-vol sideways,21,-0.006903500200008342,-0.005114284450980833,0.05636638978152264,0.47619047619047616,-0.12247547211674298
WBTC,Sell-off / drawdown,72,0.018029598761197783,0.010105984563862691,0.0466184878473948,0.625,0.3867478246016368
UNI,Sell-off / drawdown,55,0.014985483851741551,0.01952075756403726,0.07909523013866057,0.5818181818181818,0.18946128389121242
XEM,Sell-off / drawdown,377,0.012512214045171242,0.010354215202065475,0.06751995355897573,0.5941644562334217,0.185311354431581
SOL,Sell-off / drawdown,73,0.012283892309646749,0.004284381020953187,0.08116766143718115,0.5205479452054794,0.15133973422597294
BNB,Sell-off / drawdown,195,0.011408236328980388,0.014237494531175177,0.062234014145006775,0.6,0.18331191528797933
ATOM,Sell-off / drawdown,158,0.008540578814632343,0.009053557544009827,0.06752317420072212,0.5759493670886076,0.12648366898813543
AAVE,Sell-off / drawdown,59,0.007974070539286744,0.017938964159537996,0.06917737949043606,0.576271186440678,0.11526991334485542
XLM,Sell-off / drawdown,393,0.007925808351802751,0.009246780818381595,0.05950272138338435,0.5852417302798982,0.13320077078047676
LINK,Sell-off / drawdown,259,0.007885514803416581,0.007141907177490969,0.07150058660312775,0.5598455598455598,0.11028601551461445
ADA,Sell-off / drawdown,248,0.007099049611880086,0.010604210357229249,0.06120906209665015,0.6008064516129032,0.11598036906153808
BTC,Sell-off / drawdown,256,0.007006381037167494,0.008693519314352471,0.04654247494117615,0.578125,0.15053735423444242
MIOTA,Sell-off / drawdown,256,0.006822620803356037,0.014868351442700933,0.0664610338422639,0.609375,0.10265595355541093
TRX,Sell-off / drawdown,235,0.006765161194687112,0.008006095316526629,0.0667738595128815,0.5574468085106383,0.10131451505183744
DOT,Sell-off / drawdown,55,0.006387035416090736,0.005455648386461398,0.07529841529609373,0.5454545454545454,0.08482297258149704
ETH,Sell-off / drawdown,309,0.005337292680941007,0.008797408230194037,0.0612354719578049,0.5825242718446602,0.08716014607707667
XMR,Sell-off / drawdown,440,0.005298816357739953,0.009223273059782766,0.06040708618300433,0.5727272727272728,0.08771845643550982
LTC,Sell-off / drawdown,388,0.0050064769695765555,0.007684087645370319,0.055476705285486434,0.5824742268041238,0.09024467015142529
DOGE,Sell-off / drawdown,335,0.004650610008641767,1.1626499419037373E-4,0.0678467578429408,0.5014925373134328,0.06854579579775227
XRP,Sell-off / drawdown,385,0.0027409441395589555,0.0035693291656202497,0.06222655562966069,0.5324675324675324,0.04404782028868181
CRO,Sell-off / drawdown,133,0.002245902595742438,-6.572195051650631E-4,0.054296389292337044,0.48872180451127817,0.04136375595162102
EOS,Sell-off / drawdown,240,0.0020179342316897744,0.0040178105026515976,0.06640000345266829,0.5416666666666666,0.030390574198210882
